,살인기수,살인미수등,강도,강간,강제추행,방화,절도범죄,상해,폭행,협박,폭력행위등,공갈,손괴,사기,횡령,교통범죄
서울,46,100,260,1129,4667,286,46861,6949,39337,3036,2615,694,11667,51561,15367,74270
부산,29,43,137,314,951,98,16777,4637,9749,1031,1052,416,3462,20372,2971,32944
대구,17,12,51,197,632,68,9171,2863,7457,600,534,192,2856,10547,1892,31682
인천,20,28,88,347,1176,84,10025,2289,11762,870,899,255,3664,13175,2997,30972
광주,9,8,47,170,488,38,6050,1309,4797,400,389,114,1550,6753,1516,22137
대전,16,9,35,171,420,44,6981,1415,5121,528,418,130,1537,7065,1328,14524
울산,7,15,33,112,293,38,4227,1422,4026,461,268,95,1500,4873,827,14105
세종,1,1,3,10,40,2,638,162,377,45,42,30,161,562,189,1234
경기 고양,6,5,11,83,247,22,2606,555,2685,271,195,46,894,3795,1185,12280
경기 과천,0,1,1,0,20,2,159,36,179,26,9,2,49,161,79,934
경기 광명,1,1,4,32,92,8,1221,237,1320,111,97,14,290,1044,373,3141
경기 광주,3,10,4,16,60,4,881,237,955,118,85,25,371,1298,263,4171
경기 구리,1,5,1,30,83,11,936,184,935,74,69,14,269,1141,256,2225
경기 군포,0,1,3,18,66,4,837,164,831,65,56,13,285,1146,207,2801
경기 김포,2,2,6,20,92,6,1004,189,670,52,50,7,325,1714,405,4124
경기 남양주,3,7,9,60,165,18,1470,395,2041,208,98,31,595,2190,507,5542
경기 동두천,1,0,0,6,37,6,342,106,385,44,33,5,153,453,87,1158
경기 부천,6,11,17,108,339,24,4471,560,3398,319,226,87,1221,5094,1028,10437
경기 성남,5,4,17,114,348,21,3963,755,3115,340,222,47,1058,4090,1110,12472
경기 수원,10,19,26,124,408,29,5610,951,4326,493,437,85,1560,5517,1211,17841
경기 시흥,8,7,9,57,120,15,1500,343,1742,187,153,31,673,2311,429,10640
경기 안산,4,20,19,98,307,32,3285,546,3284,334,253,60,1326,4221,841,13356
경기 안성,2,4,3,15,55,4,791,150,630,59,39,8,238,697,160,2778
경기 안양,6,4,7,45,220,9,2003,458,2192,202,188,32,644,2208,733,5789
경기 양주,0,2,2,27,32,5,445,170,789,75,30,9,246,949,164,2771
경기 여주,2,5,0,14,45,3,450,121,360,39,31,8,126,508,99,2064
경기 오산,1,4,1,20,67,6,1017,194,852,64,99,12,319,809,178,2738
경기 용인,2,13,5,38,184,12,2468,474,2346,237,121,34,810,2925,691,8695
경기 의왕,1,1,1,6,26,0,232,50,347,36,9,5,117,337,69,1765
경기 의정부,4,9,17,45,141,17,1753,391,1958,168,108,22,636,1859,542,3726
경기 이천,1,0,2,26,64,2,632,196,854,73,62,19,281,1066,145,3023
경기 파주,3,2,4,38,85,9,1291,288,1180,110,77,28,396,1990,392,6456
경기 평택,4,6,9,48,148,20,1813,568,2008,211,177,48,795,2313,486,9630
경기 포천,2,4,3,30,45,16,546,179,577,64,59,9,216,839,120,2872
경기 하남,2,1,1,2,19,3,528,137,379,42,49,6,173,490,161,2771
경기 화성,4,9,3,24,129,17,1866,553,1550,153,180,52,613,2184,625,8262
강원 강릉,0,0,5,30,58,8,786,489,767,79,59,12,416,942,178,2387
강원 동해,0,3,2,12,24,1,179,243,257,31,34,5,134,290,39,1530
강원 삼척,0,2,0,7,13,3,226,157,253,24,17,10,121,340,42,1330
강원 속초,0,0,5,12,24,2,310,195,346,49,26,8,153,303,62,1568
강원 원주,4,3,2,54,60,15,1310,506,1624,121,90,21,574,1787,257,6378
강원 춘천,3,3,5,33,73,9,1117,343,887,85,63,7,429,973,181,5004
강원 태백,0,0,3,2,12,1,119,114,156,18,34,1,63,138,14,616
충북 제천,1,3,2,14,34,7,463,174,322,36,19,7,239,448,73,1773
충북 청주,1,6,17,85,222,23,3711,835,3068,289,188,43,1104,3335,555,10373
충북 충주,2,6,0,29,58,9,785,263,383,49,46,16,282,940,167,4168
충남 계룡,0,0,0,2,1,2,54,27,12,6,6,1,22,74,8,171
